Publication Type;Article Title;Abstract;Publication Year;DOI
J;Optical imaging of pre-invasive breast cancer with a combination of VHHs targeting CAIX and HER2 increases contrast and facilitates tumour characterization;Background: Optical molecular imaging is an emerging novel technology with applications in the diagnosis of cancer and assistance in image-guided surgery. A high tumour-to-background (T/B) ratio is crucial for successful imaging, which strongly depends on tumour-specific probes that rapidly accumulate in the tumour, while non-bound probes are rapidly cleared. Here, using pre-invasive breast cancer as a model, we investigate whether the use of combinations of probes with different target specificities results in higher T/B ratios and whether dual-spectral imaging leads to improvements in tumour characterization. Methods: We performed optical molecular imaging of an orthotopic breast cancer model mimicking ductal carcinoma in situ (DCIS). A combination of carbonic anhydrase IX (CAIX)- and human epidermal growth factor receptor 2 (HER2)-specific variable domains of the heavy chain from heavy-chain antibodies (VHHs) was conjugated either to the same fluorophore (IRDye800CW) to evaluate T/B ratios or to different fluorophores (IRDye800CW, IRDye680RD or IRDye700DX) to analyse the expression of CAIX and HER2 simultaneously through dual-fluorescence detection. These experiments were performed non-invasively in vivo, in a mimicked intra-operative setting, and ex vivo on tumour sections. Results: Application of the CAIX-and HER2-specific VHH combination resulted in an increase of the T/B ratio, as compared to T/B ratios obtained from each of these single VHHs together with an irrelevant VHH. This dual tumour marker-specific VHH combination also enabled the detection of small metastases in the lung. Furthermore, dual-spectral imaging enabled the assessment of the expression status of both CAIX and HER2 in a mimicked intra-operative setting, as well as on tumour sections, which was confirmed by immunohistochemistry. Conclusions: These results establish the feasibility of the use of VHH 'cocktails' to increase T/B ratios and improve early detection of heterogeneous tumours and the use of multispectral molecular imaging to facilitate the assessment of the target expression status of tumours and metastases, both invasive or non-invasively.;2016;10.1186/s13550-016-0166-y
J;Hyperspectral analysis applied to micro-Brillouin maps of amyloid-beta plaques in Alzheimer's disease brains;A recent investigation on the architecture and chemical composition of amyloid- (A) plaques in ex vivo histological sections of an A-overexpressing transgenic mouse hippocampus has shed light on the infrared light signature of cell-activation related biomarkers of Alzheimer's disease. A correlation was highlighted between the biomechanical properties detected by Brillouin microscopy and the molecular make-up of A plaques provided by FTIR spectroscopic imaging and Raman microscopy (with correlative immunofluorescence imaging) in this animal model of the disease. In the Brillouin spectra of heterogeneous materials such as biomedical samples, peaks are likely the result of multiple contributions, more or less overlaid on a spatial and spectral scale. The ability to disentangle these contributions is very important as it may give access to discrete components that would otherwise be buried within the Brillouin peak envelope. Here, we applied an unsupervised non-negative matrix factorization method to analyse the spontaneous Brillouin microscopy maps of A plaques in transgenic mouse hippocampal sections. The method has already been proven successful in decomposing chemical images and is applied here for the first time to acoustic maps acquired with a Fabry-Perot Brillouin microscope. We extracted and visualised a decrease in tissue rigidity from the core through to the periphery of the plaque, with spatially distinct components that we assigned to specific entities. This work demonstrates that it is possible to reveal the structure and mechanical properties of A plaques, with details visualized by the projection of the mechanical contrast into a few relevant channels.;2018;10.1039/c8an01291a
J;Magnetic resonance imaging identifies the fibrous cap in atherosclerotic abdominal aortic aneurysm;Background - MRI can distinguish components of atherosclerotic plaque. We hypothesized that contrast enhancement with gadolinium- DTPA ( Gd- DTPA) could aid in the differentiation of plaque components in abdominal aortic aneurysm ( AAA). Methods and Results - Twenty- three patients ( 19 males, age 70 +/- 8 years) with AAA underwent MRI on a 1.5- T clinical scanner 3 +/- 3 days before surgical grafting. T1- and T2- weighted ( W) black blood spin echo imaging was performed in 1 axial slice, and the T1- W imaging was repeated after a Gd- DTPA - enhanced 3D magnetic resonance angiogram. A section of the aorta at the site of imaging was resected at surgery for histopathologic examination of tissue components and inflammatory cells. Signal- to- noise and contrast- to- noise ratios ( CNR) were measured in visualized plaque components from multispectral MRI, and percent enhancement after contrast on T1- W imaging was calculated. The kappa value for agreement between pathology and MRI for the number of tissue components was 0.785. T2- W imaging identified thrombus as regions of high signal and lipid core as low signal, with a CNR of 6.43 +/- 3.41. Nine patients had a fibrous cap pathologically, which was visualized as a discrete area of uniform increased signal on T2- W imaging with a CNR of 4.52 +/- 1.93 compared with lipid core. Within the cap, the percent enhancement after Gd- DTPA on T1- W imaging was 91 +/- 63%. Conclusions - Higher signal on T2- W MRI identifies the fibrous cap and thrombus within AAA. Contrast enhancement improves delineation of the fibrous cap. The addition of contrast to MRI plaque imaging may enhance identification of vulnerable plaque.;2004;10.1161/01.CIR.0000116767.95046.C2
J;Microcalcification-Based Tumor Malignancy Evaluation in Fresh Breast Biopsies with Hyperspectral Stimulated Raman Scattering;Precise evaluation of breast tumor malignancy based on tissue calcifications has important practical value in the disease diagnosis, as well as the understanding of tumor development. Traditional X-ray mammography provides the overall morphologies of the calcifications but lacks intrinsic chemical information. In contrast, spontaneous Raman spectroscopy offers detailed chemical analysis but lacks the spatial profiles. Here, we applied hyperspectral stimulated Raman scattering (SRS) microscopy to extract both the chemical and morphological features of the microcalcifications, based on the spectral and spatial domain analysis. A total of 211 calcification sites from 23 patients were imaged with SRS, and the results were analyzed with a support vector machine (SVM) based classification algorithm. With optimized combinations of chemical and geometrical features of microcalcifications, we were able to reach a precision of 98.21% and recall of 100.00% for classifying benign and malignant cases, significantly improved from the pure spectroscopy or imaging based methods. Our findings may provide a rapid means to accurately evaluate breast tumor malignancy based on fresh tissue biopsies.;2021;10.1021/acs.analchem.1c00522
J;Spatial frequency domain imager based on a compact multiaperture camera: testing and feasibility for noninvasive burn severity assessment;Significance: Spatial frequency domain imaging (SFDI) is a wide-field imaging technique that provides quantitative maps of tissue optical properties. We describe a compact SFDI imager that employs a multispectral compound-eye camera. This design enables simultaneous image acquisition at multiple wavelengths. Such a device has potential for application for quantitative evaluation of superficial tissues by nonspecialists in low-resource settings. Aim: The aim of this work was to develop a compact SFDI imager for widefield imaging of in-vivo tissue optical properties and verify its ability to measure optical properties of tissue-simulating phantoms and in a preclinical model of burn wounds. Approach: This compound-eye imager was constructed using a CMOS sensor subdivided into multiple regions, each having a bandpass filter and objective lens. The ability of the instrument to image optical properties was compared with (1) a commercial SFDI imager and (2) a laboratory-based system. Initial validation of ability to accurately characterize optical properties was performed using a tissue-simulating optical phantom. It was then applied to an established murine model of thermal contact burn severity. In-vivo measurements of the optical properties of rat skin were performed before and after the application of burns. Histology was used to verify burn severity. Results: Measurements of the tissue-simulating phantom optical properties made using the compound-eye imager agree with measurements made using the two comparison SFDI devices. For the murine burn model, the burns showed a decrease in the reduced scattering coefficient at all measurement wavelengths compared with preburn measurements at the same locations. This is consistent with previously reported changes in scattering that occur in full-thickness burns. Conclusion: We demonstrate the potential for SFDI to be translated into compact form factor using a compound-eye camera that is capable of obtaining multiple wavelengths channels simultaneously. (C) The Authors.;2021;10.1117/1.JBO.26.8.086001
C;Hyperspectral fluorescence lifetime fibre probe spectroscopy for use in the study and diagnosis of osteoarthritis and skin cancer;We present the application of two fibre-optic-coupled time-resolved spectrofluorometers and a compact steady-state diffuse reflected light/fluorescence spectrometer to in vivo and ex vivo studies of skin cancer and osteoarthritis. In a clinical study of skin cancer, 27 lesions on 25 patients were investigated in vivo before surgical excision of the region measured. Preliminary analysis reveals a statistically significant decrease in the autofluorescence lifetime of basal cell carcinomas compared to neighbouring healthy tissue. A study of autofluorescence signals associated with the onset of osteoarthritis indicates autofluorescence lifetime changes associated with collagen degradation.;2011;10.1117/12.875120
J;A dual-modality optical coherence tomography and fluorescence lifetime imaging microscopy system for simultaneous morphological and biochemical tissue characterization;Most pathological conditions elicit changes in the tissue optical response that may be interrogated by one or more optical imaging modalities. Any single modality typically only furnishes an incomplete picture of the tissue optical response, hence an approach that integrates complementary optical imaging modalities is needed for a more comprehensive non-destructive and minimally-invasive tissue characterization. We have developed a dual-modality system, incorporating optical coherence tomography (OCT) and fluorescence lifetime imaging microscopy (FLIM), that is capable of simultaneously characterizing the 3-D tissue morphology and its biochemical composition. The Fourier domain OCT subsystem, at an 830 nm center wavelength, provided high-resolution morphological volumetric tissue images with an axial and lateral resolution of 7.3 and 13.4 mu m, respectively. The multispectral FLIM subsystem, based on a direct pulse-recording approach (upon 355 nm laser excitation), provided two-dimensional superficial maps of the tissue autofluorescence intensity and lifetime at three customizable emission bands with 100 mu m lateral resolution. Both subsystems share the same excitation/illumination optical path and are simultaneously raster scanned on the sample to generate coregistered OCT volumes and FLIM images. The developed OCT/FLIM system was capable of a maximum A-line rate of 59 KHz for OCT and a pixel rate of up to 30 KHz for FLIM. The dual-modality system was validated with standard fluorophore solutions and subsequently applied to the characterization of two biological tissue types: postmortem human coronary atherosclerotic plaques, and in vivo normal and cancerous hamster cheek pouch epithelial tissue. (C) 2010 Optical Society of America;2010;10.1364/BOE.1.000186
J;Topographic mapping of subsurface fluorescent structures in tissue using multiwavelength excitation;Different colors of visible light penetrate to varying depths in tissue due to the wavelength dependence of tissue optical absorption and elastic scattering. We exploit this to map the contour of the closest surface of a buried fluorescent object. This uses a novel algorithm based on the diffusion theory description of light propagation in tissue at each excitation wavelength to derive metrics that define the depth of the top surface of the object. The algorithm was validated using a tissue-simulating phantom. It was then demonstrated in vivo by subsurface brain tumor topography in a rodent model, using the fluorescence signal from protoporphyrin IX that is preferentially synthesized within malignant cells following systemic application of aminolevulinic acid. Comparisons to histomorphometry in the brain post mortem show the spatial accuracy of the technique. This method has potential for fluorescence image-guided tumor surgery, as well as other biomedical and nonbiological applications in subsurface sensing. (C) 2010 Society of Photo-Optical Instrumentation Engineers. [DOI: 10.1117/1.3523369];2010;10.1117/1.3523369
J;Photoacoustic Imaging in Biomedicine and Life Sciences;Photo-acoustic imaging, also known as opto-acoustic imaging, has become a widely popular modality for biomedical applications. This hybrid technique possesses the advantages of high optical contrast and high ultrasonic resolution. Due to the distinct optical absorption properties of tissue compartments and main chromophores, photo-acoustics is able to non-invasively observe structural and functional variations within biological tissues including oxygenation and deoxygenation, blood vessels and spatial melanin distribution. The detection of acoustic waves produced by a pulsed laser source yields a high scaling range, from organ level photo-acoustic tomography to sub-cellular or even molecular imaging. This review discusses significant novel technical solutions utilising photo-acoustics and their applications in the fields of biomedicine and life sciences.;2022;10.3390/life12040588
J;The Potential of Photoacoustic Imaging in Radiation Oncology;Radiotherapy is recognized globally as a mainstay of treatment in most solid tumors and is essential in both curative and palliative settings. Ionizing radiation is frequently combined with surgery, either preoperatively or postoperatively, and with systemic chemotherapy. Recent advances in imaging have enabled precise targeting of solid lesions yet substantial intratumoral heterogeneity means that treatment planning and monitoring remains a clinical challenge as therapy response can take weeks to manifest on conventional imaging and early indications of progression can be misleading. Photoacoustic imaging (PAI) is an emerging modality for molecular imaging of cancer, enabling non-invasive assessment of endogenous tissue chromophores with optical contrast at unprecedented spatio-temporal resolution. Preclinical studies in mouse models have shown that PAI could be used to assess response to radiotherapy and chemoradiotherapy based on changes in the tumor vascular architecture and blood oxygen saturation, which are closely linked to tumor hypoxia. Given the strong relationship between hypoxia and radio-resistance, PAI assessment of the tumor microenvironment has the potential to be applied longitudinally during radiotherapy to detect resistance at much earlier time-points than currently achieved by size measurements and tailor treatments based on tumor oxygen availability and vascular heterogeneity. Here, we review the current state-of-the-art in PAI in the context of radiotherapy research. Based on these studies, we identify promising applications of PAI in radiation oncology and discuss the future potential and outstanding challenges in the development of translational PAI biomarkers of early response to radiotherapy.;2022;10.3389/fonc.2022.803777
J;Hyperspectral stimulated Raman scattering microscopy facilitates differentiation of low-grade and high-grade human prostate cancer;Histopathology currently acts as a gold standard for human prostate cancer (PCa) diagnosis. However, the subjective nature of histopathology leads to inevitable discordance among pathologists. Specifically, the inter-observer discordance could be up to 40% for the differentiation between Gleason score 6 (low-grade) and 7 (high-grade) of PCa. According to clinical guidelines, patients with high-grade PCa need to be actively treated, while patients with low-grade PCa could undergo active surveillance due to its slowly growing feature. Therefore, differentiating high-grade and low-grade PCa is an urgent clinical need. By integrating stimulated Raman scattering microscopy and confocal Raman spectroscopy, our previous study found the aberrant cholesteryl ester (CE) accumulation in human PCa tissues. However, no significant difference in CE accumulation between the low-grade and high-grade PCa was found, primarily because the previous study only analyzed the composition of manually selected lipid droplets (LDs) without quantitative analysis of the whole field of view. Here, we employed hyperspectral stimulated Raman scattering (HSRS) microscopy to test the hypothesis of CE as a marker for differentiation of low-grade and high-grade human PCa. First, lipid, lipofuscin, and protein were quantitatively mapped in human prostate tissues based on HSRS imaging of C-H vibrational region and multivariate curve resolution analysis. Then, within the lipid channel, CE percentage and unsaturation level of LDs were quantitatively mapped according to the height ratio between Raman bands at 2870 and 2850 cm(-1), and between Raman bands at 3006 and 2850 cm(-1), respectively. In total of 6 normal prostate tissues, 9 low-grade and 9 high-grade PCa tissues from patients, we found lipofuscin accumulation in all the normal prostate but none in PCa. While all the high-grade PCa tissues had LD accumulation, only 3 low-grade PCa tissues had LD accumulation. Notably, among all the PCa tissues with LD accumulation, no significant difference in LD amount was found between low-grade and high-grade PCa. Fortunately, both CE percentage and unsaturation level of the LDs were significantly different between low-grade and high-grade PCa. Furthermore, it was shown that CE percentage could differentiate low-grade and high-grade PCa with high sensitivity and specificity. Taken together, our study may provide a new opportunity towards more accurate PCa diagnosis.;2021;10.1088/1361-6463/ac2175
J;Spatial frequency domain imaging of burn wounds in a preclinical model of graded burn severity;Frequent monitoring of early-stage burns is necessary for deciding optimal treatment and management. Both superficial and full thickness burns are relatively easy to diagnose based on clinical observation. In between these two extremes are superficial-partial thickness and deep-partial thickness burns. These burns, while visually similar, differ dramatically in terms of clinical treatment and are known to progress in severity over time. The objective of this study was to determine the potential of spatial frequency domain imaging (SFDI) for noninvasively mapping quantitative changes in chromophore and optical properties that may be an indicative of burn wound severity. A controlled protocol of graded burn severity was developed and applied to 17 rats. SFDI data was acquired at multiple near-infrared wavelengths over a course of 3 h. Burn severity was verified using hematoxylin and eosin histology. From this study, we found that changes in water concentration (edema), deoxygenated hemoglobin concentration, and optical scattering (tissue denaturation) to be statistically significant at differentiating superficial partial-thickness burns from deep-partial thickness burns. (C) 2013 Society of Photo-Optical Instrumentation Engineers (SPIE);2013;10.1117/1.JBO.18.6.066010
J;Optical biopsy mapping on endoscopic image mosaics with a marker-free probe;"Gastric cancer is the second leading cause of cancer-related deaths worldwide. Early diagnosis significantly in-creases the chances of survival; therefore, improved assisted exploration and screening techniques are necessary. Previously, we made use of an augmented multi-spectral endoscope by inserting an optical probe into the instrumentation channel. However, the limited field of view and the lack of markings left by optical biopsies on the tissue complicate the navigation and revisit of the suspect areas probed in-vivo. In this contribution two innovative tools are introduced to significantly increase the traceability and monitoring of patients in clinical practice: (i) video mosaicing to build a more comprehensive and panoramic view of large gastric areas; (ii) optical biopsy targeting and registration with the endoscopic images. The proposed optical flow-based mosaicing technique selects images that minimize texture discontinuities and is robust despite the lack of texture and illumination variations. The optical biopsy targeting is based on automatic tracking of a free-marker probe in the endoscopic view using deep learning to dynamically estimate its pose during exploration. The accuracy of pose estimation is sufficient to ensure a precise overlapping of the standard white-light color image and the hyper-spectral probe image, assuming that the small target area of the organ is almost flat. This allows the mapping of all spatio-temporally tracked biopsy sites onto the panoramic mosaic. Experimental validations are carried out from videos acquired on patients in hospital. The proposed technique is purely software-based and therefore easily integrable into clinical practice. It is also generic and compatible to any imaging modality that connects to a fiberscope.";2022;10.1016/j.compbiomed.2022.105234
J;Comparison of Cortical and Cutaneous Vascular Hemodynamic Changes in Hypoxia by Using in Vivo Skull and Skin Optical Clearing Techniques;Hypoxia occurs in various pathophysiological conditions. Especially, brain can be seriously affected by the oxygen deficiency. However, challenges exist in optically monitoring cerebral hemodynamics with high resolution. As an easily-detected vessel bed, peripheral skin is a potential target for predicting cerebrovascular hemodynamic changes. However, the similarities and differences between cerebral and cutaneous hemodynamics during hypoxia are still unclear. One of the main reasons is that optical imaging techniques are fundamentally depth/resolution-limited due to high scattering properties of turbid tissue. Fortunately, in vivo tissue optical clearing techniques can efficiently overcome these problems, and avoid the side-effects of surgical windows. In this work, we simultaneously monitor the changes in cortical and cutaneous microvascular blood oxygen and blood flow under the assistance of in vivo skull and skin optical clearing techniques, and quantitatively compared the differences between cerebral and cutaneous arteriovenous functional responses to the hypoxic stimulus. The results indicated that the variation tendency of blood oxygen response might be more similar, and cutaneous vascular blood oxygen response has the potential to serve as an accessible indicator for revealing cerebrovascular dysfunction. Moreover, it provides a feasible approach to realize visualization of in vivo monitoring cerebral and cutaneous microvascular reactivity with minimal invasiveness.;2021;10.1109/JSTQE.2021.3062595
J;Multispectral fluorescence lifetime imaging device with a silicon avalanche photodetector;We report the design, development, and characterization of a novel multi-spectral fluorescence lifetime measurement device incorporating solid-state detectors and automated gain control. For every excitation pulse (similar to 1 mu J 600 ps), this device records complete fluorescence decay from multiple spectral channels simultaneously within microseconds, using a dedicated UV enhanced avalanche photodetector and analog to digital convert (2.5 GS/s) in each channel. Fast (<2 ms) channel-wise dynamic range adjustment maximizes the signal-to-noise ratio. Fluorophores with known lifetime ranging from 0.5-6.0 ns were used to demonstrate the device accuracy. Current results show the clear benefits of this device compared to existing devices employing microchannel-plate photomultiplier tubes. This is demonstrated by 5-fold reduction of lifetime measurement variability in identical conditions, independent gain adjustment in each spectral band, and 4-times faster imaging speed. The use of solid-state detectors will also facilitate future improved performance and miniaturization of the instrument. (C) 2021 Optical Society of America under the terms of the OSA Open Access Publishing Agreement;2021;10.1364/OE.425632
J;Deep-Learning-Based Electrical Noise Removal Enables High Spectral Optoacoustic Contrast in Deep Tissue;Image contrast in multispectral optoacoustic tomography (MSOT) can be severely reduced by electrical noise and interference in the acquired optoacoustic signals. Previously employed signal processing techniques have proven insufficient to remove the effects of electrical noise because they typically rely on simplified models and fail to capture complex characteristics of signal and noise. Moreover, they often involve time-consuming processing steps that are unsuited for real-time imaging applications. In this work, we develop and demonstrate a discriminative deep learning approach to separate electrical noise from optoacoustic signals prior to image reconstruction. The proposed deep learning algorithm is based on two key features. First, it learns spatiotemporal correlations in both noise and signal by using the entire optoacoustic sinogram as input. Second, it employs training on a large dataset of experimentally acquired pure noise and synthetic optoacoustic signals. We validated the ability of the trained model to accurately remove electrical noise on synthetic data and on optoacoustic images of a phantom and the human breast. We demonstrate significant enhancements of morphological and spectral optoacoustic images reaching 19% higher blood vessel contrast and localized spectral contrast at depths of more than 2 cm for images acquired in vivo. We discuss how the proposed denoising framework is applicable to clinical multispectral optoacoustic tomography and suitable for real-time operation.;2022;10.1109/TMI.2022.3180115
J;Minimally invasive photoacoustic imaging: Current status and future perspectives;Photoacoustic imaging (PAI) is an emerging biomedical imaging modality that is based on optical absorption contrast, capable of revealing distinct spectroscopic signatures of tissue at high spatial resolution and large imaging depths. However, clinical applications of conventional non-invasive PAI systems have been restricted to examinations of tissues at depths less than a few cm due to strong light attenuation. Minimally invasive photoacoustic imaging (miPAI) has greatly extended the landscape of PAI by delivering excitation light within tissue through miniature fibre-optic probes. In the past decade, various miPAI systems have been developed with demonstrated applicability in several clinical fields. In this article, we present an overview of the current status of miPAI and our thoughts on future perspectives.;2019;10.1016/j.pacs.2019.100146
C;Autofluorescence spectroscopy of cutaneous neoplasia under ultraviolet, visible and near infrared excitation;We investigated melanin-pigmented skin samples ex vivo, of benign and dysplastic nevi, as well as malignant melanoma, obtained after surgical excision, containing so called safety areas, where a normal skin could be observed, to obtain a complex and complete view about the feasibility of different excitation sources solely and/or in combination to induce fluorescence signal useful for diagnosis of pigmented cutaneous neoplasia. Using the specialized multispectral analysis of the data obtained by fluorescence using excitation in broad spectral range, covering ultraviolet, visible and near-infrared spectral range, contribute considerably to the both the fundamental determination of tumour tissues' basic spectral parameters, and to increasing the accuracy and specificity in determining the type of pathology when spectral techniques are used that are applicable to the clinical practice. Excitation wavelengths applied namely were 365, 385, 405, 630, 785 nm. As excitation sources were used set of laser and light emitting diodes with output power in the frames of 20-50mW. Microspectrometers USB4000 and QE65000 (Ocean Optics Inc, USA) in the range of 350-1100 nm were used as detectors of the fluorescence spectra obtained using UV-VIS-NIR excitation. These are preliminary investigations based on ex vivo samples, which would be followed by in vivo investigations and comparative studies to obtain the diagnostic accuracy, using optical spectral techniques, which would surpass the existing clinical techniques for early detection and evaluation of skin cancer. The achieved results demonstrate autofluorescence spectra efficiency in highlighting biochemical changes during tumor growth in a broad spectral range.;2020;10.1117/12.2555982
C;Imaging Small-animal Whole-body Dynamics by Single-impulse Panoramic Photoacoustic Computed Tomography;Small animal whole-body imaging, providing physiological, pathological, and phenotypical insights into biological processes, is indispensable in preclinical research. With high spatiotemporal resolution and functional contrast, small animal imaging can visualize biological dynamics in vivo at whole-body scale, which can advance both fundamental biology and translational medicine. However, current non-optical imaging techniques lack either spatiotemporal resolution or functional contrasts, and pure optical imaging suffers from either shallow penetration (up to similar to 1 mm) or a poor resolution-to-depth ratio (similar to 1/ 3). Here, we present a standalone system, termed single-impulse panoramic photoacoustic computed tomography (SIP-PACT), which overcomes all the above limitations. Our technology, with unprecedented performance, is envisioned to complement existing modalities for imaging entire small animals. As an optical imaging modality, SIP-PACT captures the high molecular contrast of endogenous substances such as hemoglobin, melanin, and lipid, as well as exogenous biomarkers, at the whole animal scale with full-view fidelity. Unlike other optical imaging methods, SIP-PACT sees through similar to 5 cm of tissue in vivo, and acquires cross-sectional images with an in-plane resolution of similar to 100 mu m. Such capabilities allow us to image, for the first time, mouse wholebody dynamics in real time with clear sub-organ anatomical and functional details and without motion artifacts. SIPPACT can capture transients of whole-body oxygen saturation and pulse wave propagation in vivo without labeling. In sum, we expect widespread applications of SIP-PACT as a whole-body imaging tool for small animals in fundamental biology, pharmacology, pathology, oncology, and other areas.;2017;10.1117/12.2251593
J;In Vivo Acceleration of Skin Growth Using a Servo-Controlled Stretching Device;Tension is a principal force experienced by skin and serves a critical role in growth and development. Optimal tension application regimens may be an important component for skin tissue engineering and dermatogenesis. In this study, we designed and tested a novel servo-controlled skin-stretching device to apply predetermined tension and waveforms in mice. The effects of static and cyclical stretching forces were compared in 48 mice by measuring epidermal proliferation, angiogenesis, cutaneous perfusion, and principal growth factors using immunohistochemistry, real-time reverse transcriptase-polymerase chain reaction, and hyperspectral imaging. All stretched samples had upregulated epidermal proliferation and angiogenesis. Real-time reverse transcriptase polymerase chain reaction of epidermal growth factor, transforming growth factor beta 1, and nerve growth factor demonstrated greater expression in cyclically stretched skin when compared to static stretch. Hypoxia-induced factor 1 alpha was significantly upregulated in cyclically stretched skin, but poststretch analysis demonstrated well-oxygenated tissue, collectively suggesting the presence of transient hypoxia. Waveform-specific mechanical loads may accelerate tissue growth by mechanotransduction and as a result of repeated cycles of temporary hypoxia. Further analysis of mechanotransduction signaling pathways may provide additional insight to improve skin tissue engineering methods and optimize our device.;2010;10.1089/ten.tec.2009.0185
J;Statistically strong label-free quantitative identification of native fluorophores in a biological sample;Bioimaging using endogenous cell fluorescence, without any external biomarkers makes it possible to explore cells and tissues in their original native state, also in vivo. In order to be informative, this label-free method requires careful multispectral or hyperspectral recording of autofluorescence images followed by unsupervised extraction (unmixing) of biochemical signatures. The unmixing is difficult due to the scarcity of biochemically pure regions in cells and also because autofluorescence is weak compared with signals from labelled cells, typically leading to low signal to noise ratio. Here, we solve the problem of unsupervised hyperspectral unmixing of cellular autofluorescence by introducing the Robust Dependent Component Analysis (RoDECA). This approach provides sophisticated and statistically robust quantitative biochemical analysis of cellular autofluorescence images. We validate our method on artificial images, where the addition of varying known level of noise has allowed us to quantify the accuracy of our RoDECA analysis in a way that can be applied to real biological datasets. The same unsupervised statistical minimisation is then applied to imaging of mouse retinal photoreceptor cells where we establish the identity of key endogenous fluorophores (free NADH, FAD and lipofuscin) and derive the corresponding molecular abundance maps. The pre-processing methodology of image datasets is also presented, which is essential for the spectral unmixing analysis, but mostly overlooked in the previous studies.;2017;10.1038/s41598-017-15952-y
J;Small near-infrared photochromic protein for photoacoustic multi-contrast imaging and detection of protein interactions in vivo;Photoacoustic (PA) computed tomography (PACT) benefits from genetically encoded probes with photochromic behavior, which dramatically increase detection sensitivity and specificity through photoswitching and differential imaging. Starting with a DrBphP bacterial phytochrome, we have engineered a near-infrared photochromic probe, DrBphP-PCM, which is superior to the full-length RpBphP1 phytochrome previously used in differential PACT. DrBphP-PCM has a smaller size, better folding, and higher photoswitching contrast. We have imaged both DrBphP-PCM and RpBphP1 simultaneously on the basis of their unique signal decay characteristics, using a reversibly switchable single-impulse panoramic PACT (RS-SIP-PACT) with a single wavelength excitation. The simple structural organization of DrBphPPCM allows engineering a bimolecular PA complementation reporter, a split version of DrBphP-PCM, termed DrSplit. DrSplit enables PA detection of protein-protein interactions in deep-seated mouse tumors and livers, achieving 125-mu m spatial resolution and 530-cell sensitivity in vivo. The combination of RS-SIP-PACT with DrBphP-PCM and DrSplit holds great potential for noninvasive multi-contrast deep-tissue functional imaging.;2018;10.1038/s41467-018-05231-3
C;Design of the stand for in vivo skin surface study by scattered ellipsometry method;Nowadays skin pathology detection on early stages is one of the progressive directions in medicine. Optical diagnostics methods allow to obtain data on skin's structure and composition, to examine biotissue processes without any negative impact on skin. Polarization diagnostics methods are very perspective. They are of interest due to biotissue-scattered optical fields polarization characteristics' high sensitivity to the structural features and physiological status of the study object. Implementation of quantitative ellipsometry in turbid media eventually can provide qualitatively new results with studies of the tissue's morphological and functional state which relate to the most important directions of today medical diagnostics. As a result development of theoretical and practical aspects of optically heterogeneous biological structures and polarized radiation interaction while solving the tasks of non-invasive rapid medical objects' state control is considered to be of current interest for improving of skin formation detection quality. The purpose of this study is to develop a stand for in vivo skin state examination by scattering ellipsometry with a help of studying of anisotropic skin environment influence on the polarization state evolution of the radiation propagating in this skin. The possibility of implementation the method of quantitative ellipsometry for in vivo skin's optical anisotropy and structural heterogeneity studies is shown. The Mueller matrix algebra is used for describing polarization properties of the depolarizing optically-active biotissue medium. A setup for recording the polarization state of the backscattered radiation was designed based on a comparative analysis of the technical options and their application in experiments with biotissue. To have a uniform intensity distribution along the cross section of the input radiation beam, and also to form the polarization states necessary for the study, using the emitting channel of the LEF-3 ellipsometer in the optical scheme of the stand is proposed. The choice of the radiation source wavelength in the spectral range (He-Ne laser, 632 nm) is justified, in which radiation scattering in turbid biological media predominates over absorption, which makes it possible to tell about the sample structural parameters by changing output radiation polarization state. The receiving channel of the output polarization state analyzer was designed, which contains based on a color matrix sensor with a unified analysis field video information block, that allows further multispectral studying of the skin surface structure. The method of a skin ellipsometric examination based on the distribution visualization of the polarization state parameters along the cross section of the output radiation beam and on its subsequent analysis is proposed. For image processing and calculation of the sample polarization characteristics an algorithm and software are developed with a Python language. In the backscattering mode of probing laser radiation the distributions of the skin sector containing scar structures polarization characteristics are obtained.;2018;10.1117/12.2306657
